DigiKey Part Number,Manufacturer Part Number,Customer Reference,Quantity
,STM32G473RBT6,U7,1
,ATSAMC21G17A-AUT,U8-U10,3
,TCAN3413DR,U11-U18,8
768-1101-1-ND,FT232HL-REEL,U4,1
ED2983-ND,USB-B1HSB6,J1,1
,SMF6.0A,D1,1
RMCF0805FT10K0CT-ND,RMCF0805FT10K0,"R2, R5, R8-R14, R21-R23, R31-R33, R41-R43, R51-R53, R55-R58, R61-R64, R67-R70, R72-R77",39
1175-1627-ND,3220-10-0100-00,"J3, J5, J7, J9",4
296-51994-1-ND,TPS560430X3FDBVR,U2,1
AT93C56B-SSHM-B-ND,AT93C56B-SSHM-B,U5,1
50-ECS-120-18-5PX-CKM-CT-ND,ECS-120-18-5PX-CKM-TR,Y1,1
,MC74HC1G14DBVT1G,U3,1
,SN74LV125APWR,"U6, U19",2
,RCLAMP0504S.TCT,D2,1
XC1787CT-ND,ECS-120-20-3X-EN-TR,Y2-Y5,4
497-2080-1-ND,ST3485EBDR,U20,1
277-7678-ND,1989803,J12,1
,CSL1901DW1,D3-D7,5
2019-RK73H2ATTD3301FCT-ND,RK73H2ATTD3301F,"R4, R24, R34, R44, R54",5
S1011EC-40-ND,PRPC040SAAN-RC,"J2, J4, J6, J8 (cut 4x8)",1
118-SRN6045TA-120MCT-ND,SRN6045TA-120M,L1,1
445-14799-1-ND,C3216X7R1V106K160AC,C6,1
445-3955-1-ND,C3225X7R1C226M250AC,C7,1
399-C0805C104K5RACTUCT-ND,C0805C104K5RACTU,C8-C9,2
,KGM21NR71E104KT,"C5, C10-C11, C16-C31, C38-C41, C44, C48-C51, C54, C58-C61, C64, C67-C84",52
,CL21B105KAFNFNE,"C1, C32, C42-C43, C52-C53, C62-C63",8
,GRM21BR71C475KE51L,"C4, C15, C33",3
,CL21B103KBANNNC,"C14, C34, C37, C47, C57",5
311-4175-1-ND,CC0805FRNPO9BN330,"C35-C36, C45-C46, C55-C56, C65-C66",8
,TPS22810DBVT,U1,1
,CL21A475KBQNNNE,C2,1
,SG73P2BTTD1R0J,R1,1
,CL21B473KBCNNNC,C3,1
P47KACT-ND,ERJ-6GEYJ473V,R3,1
,RC0805FR-072K2L,R7,1
RMCF0805FT12K0CT-ND,RMCF0805FT12K0,R6,1
311-4173-1-ND,CC0805FRNPO9BN270,C12-C13,2
A130466CT-ND,CRGP0805F120R,"R59-R60, R65-R66, R79",5
35-PRPC002SAAN-RC-ND,PRPC002SAAN-RC,"J10-J11, J13-J25",15
S9001-ND,SPC02SYAN,Shunts for J10-J11,2
A130471CT-ND,CRGP0805F330R,"R15-R20, R25-R30, R35-R40, R45-R50, R78, R80",26
296-ESD2CAN24DBZRQ1CT-ND,ESD2CAN24DBZRQ1,D8-D9,2
296-ESDS452DBZRCT-ND,ESDS452DBZR,D10,1
RMCF0805FT470RCT-ND,RMCF0805FT470R,R71,1
490-1040-1-ND,BLM21AG601SN1D,FB1-FB2,2
