Pin,Signal,KiCad electrical type
1,PA00,bidirectional
2,PA01,bidirectional
3,PA02,bidirectional
4,PA03,bidirectional
5,GNDANA,power_in
6,VDDANA,power_in
7,PB08,bidirectional
8,PB09,bidirectional
9,PA04,bidirectional
10,PA05,bidirectional
11,PA06,bidirectional
12,PA07,bidirectional
13,PA08,bidirectional
14,PA09,bidirectional
15,PA10,bidirectional
16,PA11,bidirectional
17,VDDIO,power_in
18,GND,power_in
19,PB10,bidirectional
20,PB11,bidirectional
21,PA12,bidirectional
22,PA13,bidirectional
23,PA14,bidirectional
24,PA15,bidirectional
25,PA16,bidirectional
26,PA17,bidirectional
27,PA18,bidirectional
28,PA19,bidirectional
29,PA20,bidirectional
30,PA21,bidirectional
31,PA22,bidirectional
32,PA23,bidirectional
33,PA24,bidirectional
34,PA25,bidirectional
35,GND,power_in
36,VDDIO,power_in
37,PB22,bidirectional
38,PB23,bidirectional
39,PA27,bidirectional
40,RESET,input
41,PA28,bidirectional
42,GND,power_in
43,VDDCORE,power_out
44,VDDIN,power_in
45,PA30,bidirectional
46,PA31,bidirectional
47,PB02,bidirectional
48,PB03,bidirectional
